period,bank,total_volume_mn,approved_pct,bd_pct,td_pct
2025-08,Axis Bank Credit Card,28.41,95.02,4.91,0.08
2025-08,Sarva Haryana Gramin Bank,26.50,92.03,4.46,3.51
2025-07,State Bank of India,5214.74,93.22,6.17,0.61
2025-07,HDFC Bank Ltd.,1543.98,95.16,4.76,0.08
2025-07,Bank of Baroda,1328.01,90.70,9.08,0.22
2025-07,Union Bank of India,1200.25,92.81,6.98,0.20
2025-07,Punjab National Bank,1106.80,91.41,8.39,0.19
2025-07,Kotak Mahindra Bank,960.38,92.29,7.69,0.02
2025-07,Canara Bank,942.67,92.65,7.11,0.24
2025-07,Axis Bank Ltd.,875.50,94.64,5.33,0.04
2025-07,ICICI Bank Ltd.,735.99,96.08,3.89,0.02
2025-07,India Post Payments Bank Limited,637.61,88.72,11.16,0.12
2025-07,Indian Bank,631.57,92.54,7.21,0.25
2025-07,Airtel Payments Bank Limited,615.75,85.84,14.06,0.11
2025-07,Bank Of India,606.19,91.22,6.34,2.44
2025-07,Indian Overseas Bank,322.83,91.31,7.92,0.76
2025-07,Central Bank of India,292.20,91.16,8.03,0.81
2025-07,UCO Bank,273.67,91.41,8.42,0.18
2025-07,Federal Bank Ltd.,257.37,93.18,6.71,0.11
2025-07,Fino Payments Bank Ltd.,223.00,86.83,12.53,0.64
2025-07,Bank of Maharashtra,213.67,93.27,6.60,0.13
2025-07,Indusind Bank Ltd.,211.20,89.96,9.93,0.10
2025-07,IDBI Bank Ltd.,204.29,93.45,6.33,0.22
2025-07,Yes Bank Ltd.,203.24,92.22,7.68,0.11
2025-07,Karnataka Bank,140.62,92.18,7.41,0.41
2025-07,Tri O Tech Solutions Private Limited,124.55,100.00,0.00,0.00
2025-07,IDFC Bank Ltd.,118.94,93.26,6.55,0.18
2025-07,The Jammu & Kashmir Bank Limited,106.40,88.64,5.56,5.79
2025-07,Karur Vysya Bank,95.01,92.55,6.64,0.81
2025-07,Bandhan Bank limited,90.18,93.92,5.41,0.67
2025-07,AU Small Finance Bank,77.71,89.21,10.11,0.68
2025-07,The South Indian Bank Limited,72.87,94.68,5.08,0.24
2025-07,JIO Payments Bank Ltd,58.03,86.07,12.54,1.39
2025-07,Punjab and Sind Bank,57.19,90.96,8.17,0.87
2025-07,City Union Bank,56.65,92.30,7.56,0.14
2025-07,Tamilnad Mercantile Bank Limited,55.91,91.44,7.29,1.27
2025-07,Ujjivan Small Finance Bank Limited,54.99,89.92,8.92,1.16
2025-07,Baroda U.P. Bank,48.24,92.71,5.61,1.68
2025-07,Kerala Gramin Bank,46.93,91.33,7.04,1.64
2025-07,NSDL Payments Bank Limited,45.70,84.88,14.23,0.89
2025-07,Telangana Grameena Bank,40.36,88.11,10.35,1.54
2025-07,Maharashtra Gramin Bank,37.37,84.63,13.82,1.56
2025-07,Rajasthan Marudhara Gramin Bank,36.15,85.28,12.34,2.38
2025-07,Karnataka Gramin Bank,34.96,89.09,10.03,0.88
2025-07,ESAF Small Finance Bank Ltd,33.38,95.70,4.26,0.04
2025-07,Andhra Pragathi Grameena Bank,31.91,82.27,13.96,3.78
2025-07,DBS Bank India Limited,31.81,93.09,6.76,0.15
2025-07,RBL Bank Ltd.,31.22,92.43,7.09,0.48
2025-07,Equitas Small Finance Bank,30.07,91.14,8.86,0.01
2025-07,Saraswat Co-operative Bank,29.63,94.75,5.11,0.15
2025-07,Sarva Haryana Gramin Bank,26.28,94.29,4.70,1.01
2025-07,Standard Chartered Bank,23.69,95.49,4.22,0.30
2025-06,State Bank of India,4917.29,93.64,5.82,0.54
2025-06,HDFC Bank Ltd.,1472.04,95.30,4.62,0.08
2025-06,Bank of Baroda,1239.11,91.09,8.88,0.03
2025-06,Union Bank of India,1144.76,92.95,6.94,0.11
2025-06,Punjab National Bank,1053.00,92.38,7.59,0.02
2025-06,Kotak Mahindra Bank,906.50,92.48,7.49,0.04
2025-06,Canara Bank,889.37,92.85,6.83,0.32
2025-06,Axis Bank Ltd.,834.65,94.52,5.12,0.36
2025-06,ICICI Bank Ltd.,696.88,96.24,3.74,0.03
2025-06,Indian Bank,586.64,93.23,6.69,0.08
2025-06,India Post Payments Bank Limited,580.38,88.95,10.65,0.41
2025-06,Bank Of India,570.58,92.87,5.83,1.30
2025-06,Airtel Payments Bank Limited,569.33,87.08,12.52,0.40
2025-06,Indian Overseas Bank,298.47,92.76,6.78,0.45
2025-06,Central Bank of India,265.57,91.64,7.94,0.42
2025-06,UCO Bank,254.42,91.81,7.78,0.41
2025-06,Federal Bank Ltd.,242.10,93.38,6.60,0.02
2025-06,Fino Payments Bank Ltd.,209.27,87.38,11.74,0.88
2025-06,Bank of Maharashtra,200.61,93.59,6.38,0.03
2025-06,Indusind Bank Ltd.,196.57,89.94,9.41,0.64
2025-06,IDBI Bank Ltd.,193.91,93.65,6.08,0.27
2025-06,Yes Bank Ltd.,180.35,92.55,7.37,0.08
2025-06,Karnataka Bank,138.50,92.41,7.34,0.25
2025-06,Tri O Tech Solutions Private Limited,112.44,100.00,0.00,0.00
2025-06,IDFC Bank Ltd.,112.34,93.54,6.32,0.14
2025-06,The Jammu & Kashmir Bank Limited,97.27,93.34,5.92,0.73
2025-06,Karur Vysya Bank,89.99,93.12,6.59,0.29
2025-06,Bandhan Bank limited,84.89,94.23,5.28,0.49
2025-06,AU Small Finance Bank,72.91,90.35,9.61,0.04
2025-06,The South Indian Bank Limited,68.49,94.67,5.13,0.19
2025-06,Punjab and Sind Bank,55.07,91.18,7.76,1.06
2025-06,City Union Bank,52.89,92.20,7.59,0.20
2025-06,Ujjivan Small Finance Bank Limited,52.39,91.45,8.25,0.30
2025-06,Tamilnad Mercantile Bank Limited,52.32,93.04,6.81,0.15
2025-06,JIO Payments Bank Ltd,52.13,85.91,13.08,1.01
2025-06,Baroda U.P. Bank,44.19,93.21,5.56,1.23
2025-06,Kerala Gramin Bank,43.30,91.63,6.78,1.58
2025-06,Telangana Grameena Bank,41.11,87.07,10.14,2.79
2025-06,NSDL Payments Bank Limited,38.69,85.05,14.21,0.74
2025-06,Karnataka Gramin Bank,34.24,88.11,9.33,2.56
2025-06,Maharashtra Gramin Bank,34.01,86.29,12.86,0.85
2025-06,Rajasthan Marudhara Gramin Bank,33.30,86.73,11.81,1.47
2025-06,RBL Bank Ltd.,32.16,93.89,5.88,0.23
2025-06,ESAF Small Finance Bank Ltd,31.54,95.88,4.02,0.10
2025-06,DBS Bank India Limited,30.55,93.29,6.52,0.19
2025-06,Andhra Pragathi Grameena Bank,29.66,83.04,12.70,4.26
2025-06,Equitas Small Finance Bank,28.87,91.34,8.66,0.00
2025-06,Saraswat Co-operative Bank,28.21,94.61,5.30,0.08
2025-06,Sarva Haryana Gramin Bank,24.99,94.60,4.55,0.84
2025-06,Standard Chartered Bank,24.78,95.78,3.88,0.33
2025-05,State Bank of India,4972.91,93.87,5.88,0.25
2025-05,HDFC Bank Ltd.,1512.37,95.02,4.86,0.12
2025-05,Bank of Baroda,1262.84,91.27,8.64,0.09
2025-05,Union Bank of India,1168.19,93.20,6.72,0.09
2025-05,Punjab National Bank,1068.01,92.60,7.20,0.20
2025-05,Kotak Mahindra Bank,927.50,92.40,7.51,0.09
2025-05,Canara Bank,903.21,93.09,6.84,0.07
2025-05,Axis Bank Ltd.,852.60,94.85,5.15,0.00
2025-05,ICICI Bank Ltd.,713.35,96.15,3.84,0.01
2025-05,Indian Bank,593.72,92.95,6.74,0.31
2025-05,Bank Of India,587.21,92.56,6.44,0.99
2025-05,India Post Payments Bank Limited,576.10,89.08,10.71,0.21
2025-05,Airtel Payments Bank Limited,573.79,86.66,12.92,0.42
2025-05,Indian Overseas Bank,298.90,92.95,6.75,0.30
2025-05,Central Bank of India,265.24,88.88,10.60,0.52
2025-05,UCO Bank,259.36,91.65,8.20,0.15
2025-05,Federal Bank Ltd.,251.18,93.02,6.87,0.11
2025-05,Fino Payments Bank Ltd.,213.85,88.43,11.33,0.23
2025-05,Bank of Maharashtra,204.66,93.47,6.36,0.18
2025-05,Indusind Bank Ltd.,203.19,90.35,9.48,0.16
2025-05,IDBI Bank Ltd.,199.11,93.43,6.10,0.47
2025-05,Yes Bank Ltd.,175.35,92.04,7.87,0.09
2025-05,Karnataka Bank,140.77,92.33,7.45,0.21
2025-05,IDFC Bank Ltd.,113.06,93.44,6.51,0.05
2025-05,Tri O Tech Solutions Private Limited,110.06,100.00,0.00,0.00
2025-05,The Jammu & Kashmir Bank Limited,96.68,92.37,6.45,1.18
2025-05,Karur Vysya Bank,90.61,93.23,6.62,0.14
2025-05,Bandhan Bank limited,86.69,94.47,5.29,0.24
2025-05,AU Small Finance Bank,73.85,90.28,9.43,0.29
2025-05,The South Indian Bank Limited,69.84,94.78,5.11,0.11
2025-05,Punjab and Sind Bank,56.71,91.83,7.64,0.53
2025-05,City Union Bank,53.56,92.11,7.72,0.17
2025-05,Ujjivan Small Finance Bank Limited,52.91,93.19,6.62,0.19
2025-05,Tamilnad Mercantile Bank Limited,52.51,92.78,7.05,0.17
2025-05,JIO Payments Bank Ltd,52.13,83.89,15.36,0.74
2025-05,Baroda U.P. Bank,45.69,91.48,6.48,2.04
2025-05,Kerala Gramin Bank,44.18,91.81,7.17,1.02
2025-05,Telangana Grameena Bank,37.79,88.89,10.41,0.70
2025-05,RBL Bank Ltd.,35.46,93.76,5.57,0.67
2025-05,Maharashtra Gramin Bank,35.09,86.13,12.35,1.52
2025-05,NSDL Payments Bank Limited,35.02,84.06,15.48,0.45
2025-05,Karnataka Gramin Bank,34.59,89.38,9.26,1.36
2025-05,Rajasthan Marudhara Gramin Bank,32.88,86.88,12.50,0.62
2025-05,ESAF Small Finance Bank Ltd,32.02,95.76,4.06,0.19
2025-05,DBS Bank India Limited,31.69,93.36,6.53,0.12
2025-05,Equitas Small Finance Bank,30.47,91.32,8.47,0.21
2025-05,Saraswat Co-operative Bank,28.72,95.09,4.88,0.04
2025-05,Andhra Pragathi Grameena Bank,28.62,84.84,12.31,2.85
2025-05,Standard Chartered Bank,28.24,95.89,3.67,0.43
2025-05,Sarva Haryana Gramin Bank,26.07,90.17,6.96,2.87
2025-04,State Bank of India,4850.52,91.83,7.42,0.75
2025-04,HDFC Bank Ltd.,1471.20,94.26,5.74,0.00
2025-04,Bank of Baroda,1243.19,89.74,10.25,0.01
2025-04,Union Bank of India,1139.95,91.34,8.18,0.47
2025-04,Punjab National Bank,1033.60,90.90,8.74,0.36
2025-04,Kotak Mahindra Bank,917.25,90.42,9.58,0.00
2025-04,Canara Bank,876.59,91.88,7.97,0.14
2025-04,Axis Bank Ltd.,837.82,93.69,6.30,0.01
2025-04,ICICI Bank Ltd.,697.48,95.29,4.68,0.03
2025-04,Indian Bank,581.43,91.50,8.50,0.00
2025-04,Bank Of India,578.05,91.29,7.79,0.92
2025-04,Airtel Payments Bank Limited,567.67,83.13,16.41,0.46
2025-04,India Post Payments Bank Limited,554.68,86.07,13.73,0.21
2025-04,Indian Overseas Bank,288.12,92.05,7.73,0.22
2025-04,Central Bank of India,260.39,85.82,13.54,0.64
2025-04,UCO Bank,252.89,89.27,10.40,0.33
2025-04,Federal Bank Ltd.,245.91,91.50,8.49,0.00
2025-04,Fino Payments Bank Ltd.,209.14,86.54,13.35,0.10
2025-04,Bank of Maharashtra,205.33,92.15,7.80,0.05
2025-04,Indusind Bank Ltd.,199.26,88.17,11.74,0.10
2025-04,IDBI Bank Ltd.,195.97,92.72,7.12,0.15
2025-04,Yes Bank Ltd.,168.80,89.21,10.76,0.03
2025-04,Karnataka Bank,137.30,89.51,9.22,1.27
2025-04,IDFC Bank Ltd.,111.75,91.64,8.35,0.01
2025-04,Tri O Tech Solutions Private Limited,99.59,100.00,0.00,0.00
2025-04,The Jammu & Kashmir Bank Limited,94.27,92.37,6.58,1.05
2025-04,Karur Vysya Bank,87.89,92.36,7.44,0.20
2025-04,Bandhan Bank limited,82.44,93.75,5.62,0.64
2025-04,AU Small Finance Bank,73.95,87.39,12.34,0.27
2025-04,The South Indian Bank Limited,66.92,94.08,5.91,0.01
2025-04,Punjab and Sind Bank,54.50,90.17,9.36,0.47
2025-04,City Union Bank,52.19,90.55,9.18,0.27
2025-04,Ujjivan Small Finance Bank Limited,51.60,91.96,7.09,0.94
2025-04,Tamilnad Mercantile Bank Limited,50.57,91.59,8.27,0.14
2025-04,JIO Payments Bank Ltd,49.43,79.30,20.13,0.58
2025-04,Baroda U.P. Bank,43.04,91.80,6.80,1.40
2025-04,Kerala Gramin Bank,41.93,91.12,7.68,1.20
2025-04,RBL Bank Ltd.,36.09,92.76,6.80,0.45
2025-04,Telangana Grameena Bank,36.07,85.88,12.91,1.21
2025-04,Maharashtra Gramin Bank,35.66,84.44,12.84,2.73
2025-04,Karnataka Gramin Bank,34.52,86.08,11.12,2.80
2025-04,Rajasthan Marudhara Gramin Bank,33.47,82.68,17.01,0.31
2025-04,NSDL Payments Bank Limited,33.14,78.01,20.66,1.32
2025-04,DBS Bank India Limited,31.44,91.81,8.18,0.01
2025-04,ESAF Small Finance Bank Ltd,30.46,94.78,5.17,0.05
2025-04,Equitas Small Finance Bank,30.39,90.12,9.44,0.44
2025-04,Saraswat Co-operative Bank,28.81,94.13,5.86,0.00
2025-04,Andhra Pragathi Grameena Bank,28.12,82.07,12.71,5.22
2025-04,Standard Chartered Bank,27.01,94.52,4.50,0.97
2025-04,Sarva Haryana Gramin Bank,23.95,93.23,5.04,1.73
2025-03,State Bank of India,4956.07,92.01,7.09,0.90
2025-03,HDFC Bank Ltd.,1513.14,93.98,6.00,0.02
2025-03,Bank of Baroda,1270.60,89.47,10.50,0.03
2025-03,Union Bank of India,1173.28,91.58,8.36,0.06
2025-03,Punjab National Bank,1043.06,90.22,9.45,0.33
2025-03,Kotak Mahindra Bank,938.60,89.78,10.19,0.02
2025-03,Canara Bank,901.11,91.83,8.04,0.13
2025-03,Axis Bank Ltd.,883.53,93.52,6.45,0.03
2025-03,ICICI Bank Ltd.,730.29,95.15,4.72,0.13
2025-03,Bank Of India,595.31,92.34,7.08,0.58
2025-03,Indian Bank,589.50,91.56,8.21,0.23
2025-03,India Post Payments Bank Limited,570.54,86.13,13.54,0.33
2025-03,Airtel Payments Bank Limited,569.69,84.31,15.38,0.31
2025-03,Indian Overseas Bank,292.32,91.93,7.67,0.40
2025-03,Central Bank of India,266.98,86.15,13.55,0.30
2025-03,Federal Bank Ltd.,256.34,91.49,8.46,0.05
2025-03,UCO Bank,254.76,89.86,10.05,0.09
2025-03,Fino Payments Bank Ltd.,214.85,87.62,12.18,0.21
2025-03,Bank of Maharashtra,208.61,92.52,7.31,0.17
2025-03,Indusind Bank Ltd.,203.78,87.95,12.02,0.03
2025-03,IDBI Bank Ltd.,200.78,92.76,7.23,0.01
2025-03,Yes Bank Ltd.,167.37,88.24,11.65,0.11
2025-03,Karnataka Bank,144.19,90.64,8.75,0.61
2025-03,IDFC Bank Ltd.,112.68,91.20,8.80,0.00
2025-03,Karur Vysya Bank,90.86,91.97,7.76,0.27
2025-03,Tri O Tech Solutions Private Limited,89.61,100.00,0.00,0.00
2025-03,The Jammu & Kashmir Bank Limited,88.86,92.45,6.41,1.14
2025-03,Bandhan Bank limited,82.99,92.36,5.16,2.48
2025-03,AU Small Finance Bank,75.73,87.32,12.67,0.00
2025-03,The South Indian Bank Limited,70.22,93.88,6.04,0.08
2025-03,Punjab and Sind Bank,55.66,89.85,9.52,0.63
2025-03,City Union Bank,54.12,90.75,9.13,0.12
2025-03,Ujjivan Small Finance Bank Limited,53.09,93.11,6.29,0.60
2025-03,Tamilnad Mercantile Bank Limited,51.92,91.34,8.14,0.52
2025-03,JIO Payments Bank Ltd,48.73,78.72,14.05,7.23
2025-03,Kerala Gramin Bank,43.54,91.33,7.35,1.32
2025-03,Baroda U.P. Bank,43.22,90.27,7.22,2.51
2025-03,Telangana Grameena Bank,37.03,83.67,12.91,3.42
2025-03,Karnataka Gramin Bank,36.00,88.58,10.27,1.16
2025-03,Maharashtra Gramin Bank,35.59,86.14,12.37,1.50
2025-03,RBL Bank Ltd.,34.99,92.49,6.98,0.53
2025-03,NSDL Payments Bank Limited,34.89,69.20,19.22,11.58
2025-03,Rajasthan Marudhara Gramin Bank,34.54,80.78,17.51,1.71
2025-03,DBS Bank India Limited,32.09,91.95,8.04,0.01
2025-03,ESAF Small Finance Bank Ltd,31.85,91.50,4.25,4.26
2025-03,Equitas Small Finance Bank,31.50,90.20,9.43,0.37
2025-03,Saraswat Co-operative Bank,29.58,93.49,6.01,0.50
2025-03,Andhra Pragathi Grameena Bank,28.26,83.93,12.16,3.91
2025-03,Standard Chartered Bank,27.87,95.83,4.14,0.03
2025-03,Sarva Haryana Gramin Bank,23.93,93.63,4.59,1.77
2025-02,State Bank of India,4400.89,92.13,7.53,0.34
2025-02,HDFC Bank Ltd.,1335.84,93.74,6.20,0.06
2025-02,Bank of Baroda,1107.47,90.78,9.16,0.06
2025-02,Union Bank of India,1035.24,91.72,8.05,0.22
2025-02,Punjab National Bank,925.01,89.74,10.12,0.14
2025-02,Kotak Mahindra Bank,838.10,89.58,10.23,0.19
2025-02,Canara Bank,799.21,90.86,8.70,0.44
2025-02,Axis Bank Ltd.,774.80,93.21,6.78,0.02
2025-02,ICICI Bank Ltd.,646.14,94.86,5.08,0.06
2025-02,Bank Of India,524.43,92.00,7.17,0.83
2025-02,Indian Bank,517.21,91.87,8.08,0.05
2025-02,Airtel Payments Bank Limited,494.58,79.75,17.84,2.41
2025-02,India Post Payments Bank Ltd.,488.27,84.83,14.04,1.13
2025-02,Indian Overseas Bank,257.53,91.88,7.93,0.19
2025-02,Central Bank of India,234.96,85.99,13.49,0.52
2025-02,Federal Bank Ltd.,234.23,91.54,8.32,0.14
2025-02,UCO Bank,222.51,90.40,9.22,0.38
2025-02,Bank of Maharashtra,183.07,92.04,7.47,0.50
2025-02,Fino Payments Bank Ltd.,182.03,89.88,9.89,0.22
2025-02,Indusind Bank Ltd.,180.68,87.51,12.12,0.37
2025-02,IDBI Bank Ltd.,177.38,92.32,7.34,0.34
2025-02,Yes Bank Ltd.,150.13,86.99,12.77,0.23
2025-02,Karnataka Bank,127.01,90.88,8.65,0.47
2025-02,IDFC Bank Ltd.,99.48,90.73,9.24,0.02
2025-02,Karur Vysya Bank,80.65,91.79,7.87,0.34
2025-02,The Jammu & Kashmir Bank Limited,80.46,91.31,6.33,2.36
2025-02,Tri O Tech Solutions Private Limited,76.79,100.00,0.00,0.00
2025-02,Bandhan Bank limited,74.75,92.93,5.02,2.05
2025-02,AU Small Finance Bank,67.04,86.79,12.78,0.43
2025-02,The South Indian Bank Limited,63.83,93.57,5.83,0.60
2025-02,Punjab and Sind Bank,48.34,89.73,9.68,0.59
2025-02,City Union Bank,48.24,91.53,8.33,0.13
2025-02,Ujjivan Small Finance Bank Limited,46.36,94.56,5.35,0.10
2025-02,Tamilnad Mercantile Bank Limited,45.82,91.37,8.13,0.50
2025-02,Kerala Gramin Bank,39.96,92.08,7.29,0.63
2025-02,JIO Payments Bank Ltd,39.60,86.44,12.94,0.62
2025-02,Baroda U.P. Bank,35.45,92.12,6.03,1.84
2025-02,Telangana Grameena Bank,31.21,83.85,12.35,3.81
2025-02,Karnataka Gramin Bank,31.05,88.53,10.15,1.32
2025-02,NSDL Payments Bank Limited,30.80,68.39,15.91,15.71
2025-02,Rajasthan Marudhara Gramin Bank,30.74,80.12,14.29,5.59
2025-02,Maharashtra Gramin Bank,30.50,86.01,11.99,2.01
2025-02,ESAF Small Finance Bank Ltd,28.79,94.28,4.15,1.57
2025-02,DBS Bank India Limited,28.75,92.20,7.75,0.05
2025-02,RBL Bank Ltd.,28.55,91.46,7.75,0.79
2025-02,Equitas Small Finance Bank,28.49,89.74,9.72,0.54
2025-02,Saraswat Co-operative Bank,26.38,93.24,6.16,0.61
2025-02,Standard Chartered Bank,25.11,95.66,4.29,0.05
2025-02,Andhra Pragathi Grameena Bank,23.70,83.93,12.53,3.53
2025-02,Sarva Haryana Gramin Bank,20.73,92.58,4.52,2.90
2025-01,State Bank of India,4664.49,91.22,7.93,0.84
2025-01,HDFC Bank Ltd.,1419.33,93.64,6.28,0.08
2025-01,Bank of Baroda,1159.99,91.22,8.50,0.28
2025-01,Union Bank of India,1086.26,91.25,8.07,0.68
2025-01,Punjab National Bank,976.62,89.56,10.31,0.13
2025-01,Kotak Mahindra Bank,889.41,89.73,10.22,0.06
2025-01,Canara Bank,835.68,91.83,7.80,0.37
2025-01,Axis Bank Ltd.,821.68,93.47,6.51,0.02
2025-01,ICICI Bank Ltd.,692.71,94.98,4.96,0.06
2025-01,Bank Of India,556.22,92.58,7.05,0.37
2025-01,Airtel Payments Bank Limited,553.22,85.84,13.72,0.45
2025-01,Indian Bank,539.83,91.90,8.04,0.06
2025-01,India Post Payments Bank Ltd.,496.43,83.69,14.80,1.51
2025-01,Indian Overseas Bank,264.20,92.14,7.55,0.31
2025-01,Federal Bank Ltd.,250.01,91.29,8.47,0.24
2025-01,Central Bank of India,246.28,85.69,13.46,0.85
2025-01,UCO Bank,231.83,90.85,8.99,0.16
2025-01,Bank of Maharashtra,194.89,92.30,7.61,0.09
2025-01,Indusind Bank Ltd.,191.69,87.62,12.19,0.19
2025-01,IDBI Bank Ltd.,188.22,92.26,7.49,0.25
2025-01,Fino Payments Bank Ltd.,185.40,91.80,8.05,0.14
2025-01,Yes Bank Ltd.,168.50,84.22,15.59,0.19
2025-01,Karnataka Bank,136.62,90.20,9.67,0.14
2025-01,IDFC Bank Ltd.,104.47,90.66,9.31,0.03
2025-01,Karur Vysya Bank,84.10,92.02,7.64,0.34
2025-01,The Jammu & Kashmir Bank Limited,82.35,93.48,6.31,0.21
2025-01,Tri O Tech Solutions Private Limited,78.71,100.00,0.00,0.00
2025-01,Bandhan Bank limited,78.53,92.71,5.28,2.01
2025-01,AU Small Finance Bank,69.84,86.60,12.25,1.15
2025-01,The South Indian Bank Limited,67.76,94.10,5.64,0.26
2025-01,Punjab and Sind Bank,50.26,90.33,9.39,0.28
2025-01,City Union Bank,49.76,91.73,8.11,0.16
2025-01,Ujjivan Small Finance Bank Limited,49.30,94.68,4.95,0.38
2025-01,Tamilnad Mercantile Bank Limited,47.41,91.51,8.31,0.18
2025-01,Kerala Gramin Bank,41.85,91.60,7.39,1.01
2025-01,JIO Payments Bank Ltd,38.84,86.01,12.36,1.63
2025-01,Baroda U.P. Bank,35.83,90.54,6.23,3.23
2025-01,Karnataka Gramin Bank,33.43,86.15,9.39,4.46
2025-01,Rajasthan Marudhara Gramin Bank,31.82,81.68,12.90,5.43
2025-01,Maharashtra Gramin Bank,31.62,86.20,12.11,1.69
2025-01,Equitas Small Finance Bank,31.07,90.38,9.51,0.10
2025-01,DBS Bank India Limited,30.85,92.01,7.92,0.07
2025-01,ESAF Small Finance Bank Ltd,30.15,95.22,4.46,0.31
2025-01,RBL Bank Ltd.,29.51,91.90,7.73,0.37
2025-01,NSDL Payments Bank Limited,29.28,74.94,20.06,5.00
2025-01,Saraswat Co-operative Bank,28.32,93.24,6.42,0.34
2025-01,Standard Chartered Bank,26.87,95.22,4.22,0.56
2025-01,Telangana Grameena Bank,26.64,79.06,15.81,5.13
2025-01,Andhra Pragathi Grameena Bank,25.58,76.03,11.90,12.07
2025-01,Sarva Haryana Gramin Bank,21.26,94.63,4.63,0.73
2024-12,State Bank of India,4540.13,92.94,6.58,0.48
2024-12,HDFC Bank Ltd.,1403.46,93.89,6.02,0.09
2024-12,Bank of Baroda,1125.93,91.71,8.19,0.10
2024-12,Union Bank of India,1070.69,91.91,7.96,0.13
2024-12,Punjab National Bank,954.15,89.81,9.28,0.91
2024-12,Kotak Mahindra Bank,872.07,90.25,9.70,0.05
2024-12,Canara Bank,818.65,91.70,7.62,0.68
2024-12,Axis Bank Ltd.,810.01,93.80,6.17,0.03
2024-12,ICICI Bank Ltd.,700.67,95.17,4.72,0.11
2024-12,Bank Of India,540.44,93.08,6.82,0.11
2024-12,Indian Bank,524.93,92.51,7.36,0.13
2024-12,Airtel Payments Bank Limited,521.02,87.15,12.67,0.18
2024-12,India Post Payments Bank Ltd.,459.83,82.62,13.15,4.22
2024-12,Indian Overseas Bank,257.21,92.36,6.99,0.65
2024-12,Federal Bank Ltd.,245.26,91.87,8.07,0.06
2024-12,Central Bank of India,244.52,85.92,13.64,0.43
2024-12,UCO Bank,225.35,91.63,8.24,0.12
2024-12,Bank of Maharashtra,188.42,92.05,7.48,0.48
2024-12,IDBI Bank Ltd.,186.20,92.96,6.78,0.26
